"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_wards","algo_closest","algo_mbkmeans"
"10d-10c-no0.dat",3.436,1,272.9,6492.1165,7.3257,4.8973,0.0138,303.2222,0.9,0.2628,0.1511,0.1493,60.5773,0.1891,0.6078,0.766085667649023,0.822048841651232,0.724297722837582,0.000810636800704486,0.660904258129624,0.415572242810148,0.902659636540404,0.000913177958059177,0.841635211256076
"10d-10c-no1.dat",3.4852,1,305.6,7393.1055,3.3391,5.108,0.013,339.5556,0.9,0.2532,0.1508,0.1507,54.6688,0.1907,0.5842,0.92986295020833,0.774682754417727,0.677948490369192,9.56185466122426e-05,0.683269556855567,0.633529752411023,0.954784446871584,0.000253829913081605,0.581149610673137
"10d-10c-no2.dat",3.5585,1,361.8,9722.6719,19.5948,5.7179,0.0112,402,0.9,0.2389,0.1523,0.1504,69.8033,0.1922,0.5851,0.952371187293786,0.820038265992771,0.740641319366472,0.000700890645251921,0.700220104986673,0.376599215743112,0.98949031061868,0.000591501148150633,0.462913049388653
"10d-10c-no3.dat",3.414,1,259.4,7006.5874,11.9059,4.9266,0.0123,288.2222,0.9,0.2544,0.1507,0.1507,71.6558,0.1897,0.6066,0.876037645083467,0.891797485838265,0.620163004754231,0.000814503059809147,0.655362981516252,0.43505462472289,0.986194689698751,0.000736523208666698,0.592244348597716
"10d-10c-no4.dat",3.482,1,303.4,6347.4094,2.0208,4.2606,0.0109,337.1111,0.9,0.2379,0.1531,0.153,62.3683,0.1922,0.5629,0.768855885392467,0.733396323482614,0.659585660811487,1.71753232981469e-05,0.60574909568376,0.494909050679157,0.956123641327048,0.000113090404000344,0.609714193247357
"10d-10c-no5.dat",3.5784,1,378.8,7488.1798,1.9062,4.2998,0.0158,420.8889,0.9,0.257,0.1474,0.1484,63.5855,0.1903,0.5347,0.9425916714647,0.801553290399863,0.840367660067508,3.95920809431538e-05,0.507800463846501,0.27097099419598,0.977014831329272,0.000108992880269459,0.516001853796919
"10d-10c-no6.dat",3.3347,1,216.1,5741.8109,8.0494,4.3914,0.0141,240.1111,0.9,0.2625,0.1547,0.1471,60.2037,0.1875,0.6158,0.716497944595015,0.819443585293859,0.62496621136182,0.000623758055188843,0.549870904073663,0.839354343027931,0.828684440608907,0.000549500393825675,0.530207201827097
"10d-10c-no7.dat",3.5081,1,322.2,7856.3698,2.5622,5.1441,0.0181,358,0.9,0.2365,0.1485,0.1472,58.5849,0.1893,0.5648,0.712910202357129,0.833083573756757,0.700344117371716,0.000984418194004793,0.534049454444975,0.629362149567752,0.975075794142678,0.000764068718051887,0.583759850595626
"10d-10c-no8.dat",3.4259,1,266.6,6558.8882,7.6811,4.4463,0.01,296.2222,0.9,0.2632,0.1537,0.152,56.6734,0.1908,0.5847,0.85028981152116,0.911957889314747,0.661137685505014,0.000669853285888766,0.513290291818519,0.826900291486923,0.986837203910776,0.000364966897191488,0.482681539695052
"10d-10c-no9.dat",3.4299,1,269.1,7008.6531,11.3742,4.9814,0.0109,299,0.9,0.2709,0.1523,0.1507,59.7263,0.1887,0.6067,0.785609017513603,0.822750819623193,0.471369460359791,0.000912778241682717,0.547397643089322,0.691532787012105,0.893304709893632,0.000426751699273943,0.639953530605503
"10d-20c-no0.dat",3.0056,1,101.3,5844.8966,5.8814,8.6025,0.0558,112.5556,0.9,0.2611,0.1252,0.1324,38.8156,0.1851,0.5907,0.681150190100576,0.94157788654907,0.851999579383301,0.885971214720762,0.998136872620014,0.998136872620014,1,0.852656105411633,0.857593371015451
"10d-20c-no1.dat",2.9562,1,90.4,5518.936,2.1867,8.0917,0.0548,100.4444,0.9,0.2956,0.1316,0.1278,48.2872,0.187,0.614,0.865281366461914,0.943140126265901,0.529697198511436,0.847964609457998,1,1,1,0.953763953102995,0.868936969663722
"10d-20c-no2.dat",3.066,1,116.4,5824.5831,4.0917,8.0567,0.0526,145.5,0.8,0.2725,0.1321,0.1336,40.066,0.1901,0.6007,0.883059767205434,0.967869846207489,0.626264851700022,0.778881809173007,0.99601365337755,0.930211931944499,0.993213499477314,0.808494672976857,0.868619252417957
"10d-20c-no3.dat",3.0795,1,120.1,6332.8429,7.3805,8.1115,0.05,133.4444,0.9,0.2333,0.129,0.1338,37.2893,0.1915,0.5701,0.769524395814747,0.905035293553932,0.591142349907592,0.797842118606333,0.993981568595881,0.997969274962569,0.997969274962569,0.81583892517884,0.693754725909303
"10d-20c-no4.dat",3.0892,1,122.8,5866.0794,8.2368,7.8484,0.0439,153.5,0.8,0.2501,0.1345,0.1376,35.2856,0.1935,0.5636,0.80591035427593,0.933555067950103,0.739181603459379,0.826527867335088,0.991914088906453,0.99379504038886,0.997720057841165,0.692698804218067,0.714125244763405
"10d-20c-no5.dat",3.0962,1,124.8,6193.9971,10.4747,8.8606,0.053,138.6667,0.9,0.2481,0.1297,0.1337,44.0033,0.1888,0.566,0.765122938436766,0.942547823158297,0.729204289384022,0.8967760258492,1,1,1,0.897189369633109,0.895412659726986
"10d-20c-no6.dat",3.1069,1,127.9,6311.3588,6.7895,7.3151,0.0453,142.1111,0.9,0.2726,0.1337,0.1451,34.5236,0.189,0.5968,0.887955532804555,0.886114158507632,0.817366314732887,0.646706282629673,0.998529589375068,0.994824863365428,0.998529589375068,0.468968701913892,0.827608726743244
"10d-20c-no7.dat",3.0342,1,108.2,5425.7951,6.6442,8.1501,0.0591,120.2222,0.9,0.2436,0.117,0.1316,43.7554,0.1917,0.5487,0.900709514268012,0.898072002780613,0.765947207269828,0.82733958620121,1,1,1,0.904596384362886,0.890452518971582
"10d-20c-no8.dat",3.1086,1,128.4,6116.6606,4.6351,7.6597,0.0441,142.6667,0.9,0.2591,0.1298,0.1385,35.1471,0.1897,0.5763,0.876868755764064,0.882707488434041,0.743969376795273,0.772335104838802,1,1,1,0.571086980657052,0.665920594324303
"10d-20c-no9.dat",3.1193,1,131.6,7367.3587,5.3718,8.7943,0.0489,146.2222,0.9,0.2817,0.1276,0.1393,39.1585,0.1901,0.5813,0.821685728700678,0.876486870325485,0.858100778688734,0.618288052373957,1,1,1,0.819185322691135,0.8182276142089
