"time_kmeans","time_kmedians","time_kmedoids","time_single","time_complete","time_average","time_wards","time_closest","time_mbkmeans"
0,0.0896,0.6576,0.31791,0.42756,0.31619,0.35439,0.34456,0.0396
0.01658,0.05257,0.75925,0.38456,0.39418,0.3505,0.38757,0.44499,0.01562
0,0.05821,1.12445,0.59122,0.54028,0.5248,0.55365,0.56588,0.01562
0.01563,0.04686,0.43558,0.26227,0.29412,0.30931,0.32519,0.28119,0.01562
0,0.0469,0.6379,0.39792,0.39867,0.37198,0.38699,0.38411,0.02782
0,0.07497,1.09208,0.61698,0.64051,0.58771,0.59362,0.62109,0.01562
0,0.04172,0.32528,0.24665,0.41825,0.21492,0.18745,0.1842,0
0,0.0469,0.70931,0.43373,0.662,0.41843,0.43099,0.43054,0.01562
0.01562,0.04683,0.46623,0.29681,0.4717,0.27812,0.33079,0.32804,0.01562
0.01562,0.06312,0.63692,0.29362,0.35614,0.32492,0.31246,0.29346,0.01562
0,0.02361,0.0708,0.03119,0.0469,0.03124,0.04363,0.03123,0
0,0.01562,0.10092,0.03128,0.0312,0.03125,0.01562,0.07461,0.01562
0,0.03124,0.09954,0.04683,0.05947,0.05501,0.0624,0.04686,0.01562
0.01562,0.03124,0.10123,0.07431,0.04687,0.05098,0.04686,0.0633,0
0,0.03124,0.14634,0.06244,0.06249,0.04686,0.06564,0.05157,0.01562
0,0.03125,0.09745,0.06253,0.06244,0.06249,0.05492,0.0525,0.01562
0.01563,0.03775,0.12914,0.06245,0.06253,0.0781,0.06249,0.06244,0
0,0.03129,0.13327,0.0469,0.03123,0.03124,0.04686,0.03124,0.01562
0.01562,0.03326,0.11147,0.04686,0.05961,0.06248,0.06252,0.0468,0.01562
0,0.03494,0.11124,0.06249,0.06244,0.07467,0.06245,0.06249,0
0,0.0967,0.29373,0.14056,0.16859,0.21266,0.14444,0.14059,0.03125
0.02227,0.11469,0.39531,0.19975,0.20312,0.20308,0.23433,0.19984,0.01562
0.00798,0.12353,0.49639,0.29331,0.32448,0.24652,0.30926,0.24657,0.03124
0.00897,0.10931,0.40443,0.18746,0.20618,0.20308,0.23097,0.1875,0.03124
0.00776,0.13745,0.54575,0.27807,0.30923,0.30572,0.29961,0.28118,0.0361
0,0.10931,0.40487,0.21226,0.2187,0.21566,0.2187,0.22638,0.04205
0.01562,0.12761,0.45624,0.28115,0.29362,0.28122,0.3019,0.26627,0.03124
0,0.09373,0.38764,0.18454,0.19065,0.18742,0.17593,0.2231,0.03124
0.01566,0.12637,0.40661,0.19971,0.2187,0.20025,0.22489,0.20312,0.04421
0.01558,0.10464,0.4343,0.2187,0.21874,0.2592,0.21873,0.21866,0.03191
0,0.01562,0.08011,0.06245,0.06245,0.0469,0.06249,0.05949,0.00798
0,0,0.06248,0.03869,0.0469,0.04686,0.04686,0.0326,0.00599
0,0,0.04368,0.01973,0.0312,0.01563,0.01558,0.01776,0.00698
0.01562,0.02103,0.10935,0.10935,0.10612,0.06249,0.07515,0.07306,0.00797
0,0.00798,0.10939,0.03124,0.03124,0.04352,0.03402,0.03128,0.00598
0,0.0011,0.07811,0.04686,0.06249,0.03128,0.0469,0.04683,0.00898
0,0.01566,0.06332,0.04686,0.03124,0.03256,0.07807,0.03128,0.00653
0,0.01558,0.15205,0.07528,0.10598,0.07654,0.07484,0.07807,0
0,0,0.07807,0.03124,0.0469,0.03124,0.0469,0.0469,0.01562
0,0.01562,0.09377,0.06248,0.04683,0.0469,0.04682,0.04687,0
0,0.03124,0.61333,0.23103,0.24994,0.2153,0.25057,0.23077,0.01562
0.01562,0.01562,0.55602,0.14062,0.17183,0.16268,0.15621,0.15299,0.01562
0,0.03124,0.68752,0.23116,0.29361,0.23432,0.26467,0.25352,0.01562
0,0.01562,0.8236,0.30966,0.3404,0.3561,0.2985,0.32805,0.01562
0,0.03128,0.91231,0.3248,0.30608,0.27794,0.34157,0.2781,0.01562
0,0.03124,0.89065,0.40304,0.43124,0.37175,0.37205,0.35596,0.01562
0,0.03125,0.97815,0.30967,0.40667,0.33693,0.31125,0.28464,0.01562
0.01562,0.01562,0.45965,0.17894,0.1994,0.16877,0.17443,0.20663,0.01562
0,0.0312,0.54298,0.25404,0.26844,0.19928,0.2624,0.19649,0.01562
0,0.02822,1.09354,0.44669,0.57465,0.35934,0.34705,0.3248,0.01562
0,0.03124,0.1811,0.06249,0.09075,0.05938,0.06244,0.05046,0.01562
0,0.02293,0.07815,0.05333,0.06249,0.03522,0.03124,0.03129,0
0,0.00711,0.12493,0.03124,0.01562,0.01137,0.03548,0.03121,0.01562
0.001,0.01566,0.09633,0.04687,0.04686,0.03128,0.02373,0.03124,0
0.00103,0.01558,0.18095,0.14059,0.04686,0.04683,0.04683,0.04692,0.01562
0.001,0.01566,0.12164,0.03124,0.03129,0.03124,0.03124,0.01561,0.01562
0.00203,0.01562,0.14048,0.03124,0.03124,0.10597,0.03124,0.06245,0
0.00099,0.01562,0.14063,0.04686,0.03124,0.03128,0.04667,0.03124,0.02428
0.001,0.01562,0.10935,0.03125,0.03124,0.04685,0.03132,0.04687,0.00798
0.00014,0.01562,0.14056,0.03128,0.04686,0.03125,0.0312,0.03124,0.00997
0,0.07487,0.5209,0.1718,0.18746,0.15963,0.21548,0.15315,0.0193
0,0.0469,0.4195,0.12173,0.14059,0.14059,0.10939,0.10931,0.01562
0,0.06248,0.38751,0.13307,0.13736,0.10937,0.12493,0.10609,0.03124
0,0.04683,0.38758,0.17495,0.13743,0.12495,0.14391,0.12494,0.01562
0,0.04686,0.34702,0.12497,0.14059,0.13618,0.12497,0.15621,0.03124
0,0.06594,0.41866,0.14064,0.20308,0.12623,0.1529,0.11282,0.01562
0,0.07102,0.38681,0.14059,0.14059,0.13734,0.14807,0.14063,0.01562
0,0.04686,0.39975,0.12493,0.14064,0.12493,0.12497,0.10935,0.03124
0.01562,0.07484,0.51876,0.12184,0.12493,0.10935,0.10939,0.10623,0.01562
0,0.04807,0.44651,0.19977,0.15296,0.19593,0.17179,0.17188,0.01562
0,0.01562,0.12502,0.07815,0.07807,0.06252,0.06249,0.0592,0
0,0,0.14688,0.07807,0.07502,0.06372,0.07295,0.06244,0.01562
0,0.01562,0.12081,0.03124,0.03124,0.01566,0.01613,0.01562,0
0,0,0.06362,0.03128,0.03128,0.01561,0.03124,0.03128,0.01562
0,0.01562,0.07807,0.01558,0.03124,0.01559,0.01566,0.01563,0
0,0.01562,0.21874,0.06253,0.07807,0.06252,0.06245,0.06248,0
0,0.01562,0.15308,0.0781,0.07811,0.07099,0.13738,0.07807,0.01562
0,0.01562,0.13742,0.01558,0.03124,0.03124,0.03125,0.01562,0
0.01562,0,0.07811,0.03128,0.03128,0.0312,0.01562,0.01566,0.01562
0,0.01562,0.05126,0.01558,0.01562,0.01566,0.01558,0.016,0
0.04337,0.54948,2.5544,3.63662,2.33408,2.35221,2.42593,2.14284,0.06782
0.03788,0.61326,2.67072,1.97985,1.59249,1.87636,1.85236,1.66094,0.06383
0.02639,0.64633,3.5243,2.63463,2.18,2.50615,2.50214,2.22102,0.0798
0.03128,0.61945,4.44303,2.38577,2.33597,2.74585,2.60732,2.33492,0.07779
0.03123,0.61184,2.39892,1.50272,1.49954,1.68273,1.67178,1.54157,0.06582
0.03126,0.67439,2.65762,2.66792,3.0806,2.65459,2.69673,2.53067,0.0758
0.03121,0.68519,2.15213,2.36235,2.81341,1.91177,2.0172,3.2293,0.06183
0.03124,0.56902,2.81814,2.66642,2.96032,2.41197,2.38118,2.42007,0.06283
0.04686,0.49154,2.21528,2.03769,1.82399,1.89627,1.77124,1.77968,0.05984
0.03124,0.41299,1.26373,1.40283,1.06842,1.10567,1.087,1.20212,0.05784
